Фильм,Описание,Сюжет,Жанры
Страсти Христовы (2004),"Фильм представляет собой драматическое воссоздание последних двенадцати часов жизни Иисуса Христа, начиная с молитвы в Гефсиманском саду и заканчивая Его распятием и Воскресением. История включает предательство Иуды, суды у первосвященников и римских властей, бичевание и казнь Христа, а также сцены его крестного пути и последующего снятия с креста.","Фильм начинается в Гефсиманском саду, когда Иисус молится об избавлении от страданий, дьявол искушает Его. В это время Иуда Искариот, ученик Христа, предав Его за тридцать сребреников, движется к Гефсимании с солдатами Храмовой стражи, чтобы арестовать Учителя. Ученики просыпаются, Пётр достаёт заранее приготовленный меч и отсекает ухо Малху, одному из солдат. Но Христос останавливает его и исцеляет Малха. Ученики в страхе разбегаются. Далее Христа отводят в Синедрион, так как надо провести суд, соблюдая законность.


Тем временем Иоанн, самый молодой ученик Христа, рассказывает Марии (Матери Христа) и Марии Магдалине об аресте, а Пётр наблюдает за Иисусом издалека. Первосвященники Анна и Каиафа на суде осуждают Христа на смерть. Теперь требуется разрешение римских властей в лице прокуратора Иудеи Понтия Пилата, и утром Христа ведут к нему. Но Пилат, узнав, что Иисус из области, подвластной Ироду Антипе, отсылает Его к тетрарху. Тот просит ради забавы показать ему одно из чудес, о которых он так много слышал, но Иисус молчит, и Ирод прогоняет Его, не признав виновным.


После Его возвращения Пилат предлагает народу наказать Иисуса, а после отпустить, так как у его жены Клавдии был сон об Иисусе. Пилат даёт толпе шанс освободить Христа по случаю праздника, но собравшиеся требуют освободить разбойника-убийцу Варавву. Христа бичуют и надевают Ему на голову терновый венец. Пилат вновь предлагает толпе отпустить Иисуса, спрашивая: «Взгляните на Него. Разве этого недостаточно?». Толпа требует распятия, в связи с чем Пилат «умывает руки» и отправляет Христа на казнь.


Иисус идёт по «Пути Скорби» к Голгофе, месту казни.  Иисус не может больше нести крест, тогда солдат стражи выбирает из толпы крестьянина Симона, который случайно проходит мимо, и они вместе несут крест. В пути девушка Вероника умывает ему лицо. Дойдя до места, солдаты прибивают руки и ноги Христа к кресту и поднимают его вместе с двумя другими казнёнными разбойниками. Иисус молится за них. К одному из разбойников подлетает ворон и выклёвывает глаз. Когда Иисус умирает, слеза Отца Небесного падает на землю и начинается ливень. Землетрясение раскалывает Храм. Это видит Каиафа. Дьявол кричит в аду.


Один из священников Иосиф Аримафейский, Касий Лонгин, ученик Иоанн, двое римских солдат и Мария Магдалина снимают Иисуса с креста и кладут на руки его Матери Марии. Фильм заканчивается сценой Воскресения Христа.",драма
Родные (2021),"Однажды вечером отец семейства сообщает, что у него опухоль мозга, и жить ему осталось от силы год, поэтому он желает исполнить мечту всей своей жизни: отправиться с родными на Грушинский фестиваль и выступить там со своей песней. Семье приходится поехать в путешествие через всю Россию. В пути их ждут приключения, различные испытания, проверка отношений на прочность и важная встреча, которую отец ждал 20 лет.",,"комедия, драма"
Экспресс (2022),"Саша Сосланов не унывает даже в трудные времена. После отчисления из университета и отъезда возлюбленной Нины в Москву, он делает отчаянную ставку на последнюю тысячу рублей в букмекерской конторе. Но теряет карточку с потенциальным выигрышем. Теперь у Саши есть три дня, чтобы найти её и получить шанс на новую жизнь. На пути к цели его ждут неожиданные приключения и встреча с колоритными персонажами.","Саша Сосланов по кличке Сос, обаятельный раздолбай из кавказской провинции, попадает в самую чёрную полосу своей жизни. Но даже, когда его выгоняют из университета, а горячо любимая им Нина уезжает в Москву, он не унывает, а идёт в букмекерскую контору и на последнюю тысячу рублей делает отчаянную ставку из нескольких событий — «экспресс». Невероятное стечение обстоятельств делает его обладателем крупного выигрыша. Вот только карточку он теряет.","комедия, драма"
Братья (2024),"Основанный на реальных событиях, этот фильм показывает несколько лет, проведенных в одиночестве в лесу в качестве детей двух братьев, живущих как дикие звери. Повзрослев, Мишель отправляется на Великий Север Канады, чтобы найти своего брата Патриса.",,драма
Гарфилд (2024),"Гарфилд (озвучен Крисом Праттом), всемирно известный, ненавидящий понедельник и любящий лазанью домашний кот, собирается отправиться в дикое приключение на свежем воздухе. После неожиданного воссоединения со своим давно потерянным отцом - неряшливым уличным котом Виком (озвучен Сэмюэлем Л. Джексоном) - Гарфилд и его собачий друг Оди вынуждены отказаться от своей идеально избалованной жизни и присоединиться к Вику в веселом ограблении с высокими ставками.",,"мультфильм, фэнтези, комедия, приключения"
2046 (2004),"Чоу возвращается в Гонконг после нескольких лет, проведённых в Сингапуре. Он заселяется в дешёвый отель, где сначала хочет снять комнату 2046, поскольку этот номер напоминает ему о прошлом, но это оказывается невозможно, и Чоу селится в соседний номер, 2047. Большая часть фильма рассказывает об отношениях Чоу с постояльцами номера 2046.

Чоу, работавший раньше журналистом, в Гонконге зарабатывает на жизнь писательским трудом. В качестве прототипов героев своих книг — смеси бульварной эротики и фантастики — он использует людей из реальной жизни: владельца гостиницы, всевозможных женщин, постояльцев номера 2046. В книгах Чоу описывает фантастическое будущее, в котором по всей Земле тянется гигантская транспортная сеть, по которой можно перемещаться в любое место и время. Год 2046 он обозначает особенным временем, в которое люди стремятся попасть, чтобы обрести утраченное. Вставки из фантастического мира книг Чоу в фильме перемежаются со сценами из реальной жизни и воспоминаниями самого героя.","Чоу возвращается в Гонконг после нескольких лет, проведённых в Сингапуре. Он заселяется в дешёвый отель, где сначала хочет снять комнату 2046, поскольку этот номер напоминает ему о прошлом, но это оказывается невозможно, и Чоу селится в соседний номер, 2047. Большая часть фильма рассказывает об отношениях Чоу с постояльцами номера 2046.


Чоу, работавший раньше журналистом, в Гонконге зарабатывает на жизнь писательским трудом. В качестве прототипов героев своих книг — смеси бульварной эротики и фантастики — он использует людей из реальной жизни: владельца гостиницы, всевозможных женщин, постояльцев номера 2046. В книгах Чоу описывает фантастическое будущее, в котором по всей Земле тянется гигантская транспортная сеть, по которой можно перемещаться в любое место и время. Год 2046 он обозначает особенным временем, в которое люди стремятся попасть, чтобы обрести утраченное. Вставки из фантастического мира книг Чоу в фильме перемежаются со сценами из реальной жизни и воспоминаниями самого героя.","фантастика, драма, мелодрама"
Меган: К вашим услугам (2024),"Эта история начинается с того, как отец покупает робота-прислугу, чтобы та заботилась о доме и семье. Однако он не подозревает о том, что вскоре она обретет сознание и станет смертельно опасной.",,"фантастика, триллер"
Дикие истории (2014),"Фильм представляет собой черную драмеди, в которой шесть сюжетных линий пересекаются в тематике мести и ярости. Обиженный Гэбриела Пастернак оказывается в одном самолете с теми, кто когда-то его унижал. В придорожной закусочной официантка сталкивается с человеком, доведшим ее отца до самоубийства, и готовит ему ядовитую месть. Молодой водитель мощной Audi вовлечен в смертельное соревнование с провинциальным водителем старого Peugeot. Эти и другие истории переплетаются в дикой смеси триллера, комедии и драмы","Фильм состоит из шести отдельных коротких эпизодов-новелл, объединённых общей темой насилия и мести[12].","триллер, драма, комедия"
Еще по одной (2020),"Четверо преподавателей из Копенгагена — учитель истории, психологии, музыки и физрук — решают проверить гипотезу, согласно которой небольшая доза алкоголя в крови повышает эффективность и счастье. Установив правила, они начинают пить в рабочее время и следят за результатами. Эксперимент приносит сначала положительные результаты: их работа и личная жизнь становятся лучше. Однако вскоре они превышают безопасные дозы, что приводит к личным и профессиональным проблемам. Один из друзей становится алкоголиком и погибает, а оставшиеся решают прекратить эксперимент. В итоге, на похоронах друга, они снова выпивают и находят повод для радости и новых начинаний.","Главные герои фильма, Мартин, Томми, Петер и Николай, преподают в одной из средних школ Копенгагена. Когда они собираются на ужин в честь сорокалетия Николая, тот рассказывает друзьям о гипотезе учёного и психотерапевта Финна Скэрдеруда, согласно которой 0,5 промилле алкоголя в крови помогает человеку повысить свою эффективность и уровень счастья. На следующий день Мартин, давно утративший способность радоваться жизни, выпивает перед уроком немного алкоголя. Ученики, прежде жаловавшиеся на качество преподавания, остаются довольны. Мартин делится впечатлениями с Николаем, и друзья решают провести эксперимент: систематически выпивать в рабочее время при соблюдении определённых правил (содержание алкоголя в крови не должно превышать 0,5 промилле, пить после восьми вечера нельзя).


Гипотеза Скэрдеруда показывает хорошие результаты. Мартину удаётся уделять внимание жене и детям, на занятиях все четверо неизменно «в ударе» и пользуются успехом у учеников. Они продолжают эксперимент, повысив предел до 1 промилле. В какой-то момент друзья решают выпить по максимуму, чтобы посмотреть, как реагируют на это их тела и умы. Они весело проводят ночь, но по возвращении домой у Мартина и Николая происходят семейные ссоры. Жена и дети Мартина беспокоятся из-за того, что он становится алкоголиком, и после очередного скандала жена уходит. Друзья отказываются от продолжения эксперимента.


Спустя несколько месяцев Мартин, Петер и Николай перестали пить днём, а Томми стал алкоголиком и потерял работу. Во время очередного запоя он садится в лодку, выходит в море и погибает (возможно, это было самоубийство). После похорон друзья ужинают в ресторане и немного выпивают. Мартин, Петер и Николай видят, как мимо проезжает группа выпускников их школы, и присоединяются к празднованию. Мартин получает по телефону сообщение от своей жены, которая готова дать их браку второй шанс. Грустный и одновременно радостный Мартин веселится на торжестве выпускников и исполняет свой обещанный ещё в самом начале фильма танец под песню What a Life группы Scarlet Pleasure[англ.].","драма, комедия"
Общество мертвых поэтов (1989),"Джон Китинг — новый учитель английской словесности в строгом американском колледже. Его неординарный стиль преподавания и смелый подход к обучению резко выделяют его среди коллег. Китинг открывает ученикам тайну Общества мёртвых поэтов, вдохновляя их искать свой собственный голос и смотреть на жизнь с новой перспективы, выходя за пределы строгих правил школы.","1959 год. Семь юношей: Нил Пэрри (Роберт Шон Леонард), Тодд Эндерсон (Итан Хоук), Нокс Оверстрит (Джош Чарльз), Чарли «Новачудо» Далтон (Гэйл Хансен), Ричард Камерон (Дилан Кассман), Стивен Микс (Аллелон Руджиеро), Джерард Питтс (Джеймс Уотерстон), являются учениками престижной частной школы в США — Welton, в основе которой лежат четыре принципа: «Традиция», «Честь», «Дисциплина» и «Совершенство» («Tradition», «Honor», «Discipline» и «Excellence»). Однако сами ученики дают иное определение столпам своей, как они её называют, школы «Hellton» (дословно — «адская»): «Пародия», «Ужас», «Упадничество» и «Отстой» («Travesty», «Horror», «Decadence» and «Excrement»).


В первый же день ученики встречают нового учителя, Джона Китинга (Робин Уильямс), методы преподавания которого коренным образом отличаются от традиционных, применяемых в этой школе уже на протяжении многих десятков лет. Новый учитель начинает преподавание с пламенной лекции об их (учеников) неотвратимой смерти, объясняющей, что жизнь мимолётна, поэтому они должны следовать принципу «Carpe diem» (лат. «Лови день», то есть пользуйся сегодняшним днём, лови мгновение — поэтический призыв римского поэта Горация), а себя он просит называть «О, капитан, мой капитан!». Остальная часть фильма — пробуждение, в котором героям фильма и зрителям даётся понять, что люди, имеющие авторитет, должны всегда действовать как «проводники». Юноши в тайне от всех возвращают к жизни литературный клуб «Общество мёртвых поэтов», членом которого в своё время являлся и сам Китинг.


Вольнодумство доставляет неприятности Нилу Пэрри. Он решает продолжать занятия искусством (то, что он любит и в чём он преуспевает) вместо занятия медициной (карьерой, которую избрал для него отец). Нил получает роль Пэка в пьесе «Сон в летнюю ночь». Отец (Кертвуд Смит) узнаёт об этом только накануне премьеры и приказывает сыну покинуть театр. Нил говорит отцу, что уйдёт. Он спрашивает совета Китинга, и тот говорит ему попробовать убедить отца, что актёрство для него действительно важно. Нил так и не решается на этот разговор, но на следующий день говорит Китингу, что отец разрешил ему играть в пьесе. Выступление проходит успешно, но отец Нила не может простить непослушание своего сына и намеревается отправить его в военную школу города Браден, где бы тот проходил подготовку для поступления в Гарвард. Нил не в состоянии справиться со своими чувствами и не может противостоять своему отцу, поэтому он совершает самоубийство.


Начинается расследование произошедшей трагедии. Директор получает всю информацию, в том числе и об «Обществе мёртвых поэтов», от одного из учеников, Ричарда Камерона. Когда Чарли Далтон узнает о предательстве бывшего друга, он с яростью набрасывается на него, что ведёт к его исключению из Велтона. Отец Нила не признаёт ответственности за трагическую смерть своего сына. Вместо этого он обвиняет в произошедшем учителя — Джона Китинга. Учеников заставляют подписать показания, что Китинг внушил ученикам идею воссоздания «Общества мёртвых поэтов» и заставил Нила не слушаться отца. Китинга увольняют и принуждают покинуть Велтонскую школу.


Когда на очередном уроке Китинг заходит в класс за личными вещами, Тодд встает на парту и произносит: «О, капитан, мой капитан!». То же самое делают многие в классе. Тронутый поддержкой со стороны учеников, Китинг благодарит их и уходит.",драма
